ID,Start time,Completion time,Email,Name,I have read the Participant Information Sheet included with this questionnaire.,I am over the age of 18.,"I understand that no personal identifying data is collected in this study, therefore I know that once I have submitted my answers I am unable to withdraw my data from the study.","I agree that my data can be anonymised, stored and used in future research in line with Brunel University’s data retention policies.",I agree to take part in this study.,"Which country are you studying in or studied from? (If it is 2 or more countries, mention the latest one)",Which level of education are you currently studying in or studied till?,Which credit awarding framework does your education system or institution practice?  ,Were you aware that academic credit awarding systems had credit transferability and conversion issues?  ,Which of the following issues do you think is a bigger hurdle for a student in terms of their academic credentials? ,"With respect to student exchange programs or credit transferability, students often have to incur additional costs or lose the time they spent in their previous study course. Which one among the f...",How useful do you think implementing technology would be in the education sector for the elimination of paper-based transcripts & certificates? ,"How useful do you think decentralising the credit & credential system be to the education community (students, universities, employers)? ","On a scale of 1 to 5, select the level of collaboration you think is essential for countries or educational frameworks in working together to form a unified or standardized credit system on a glob...","Mention with keywords or a short answer, what are your suggestions in addressing the problem of credentials & credits on a global stance?","Mention with keywords, what are your suggestions for the adoption of blockchain in education sector to succeed?"
2,6-23-22 12:58:32,6-23-22 13:06:41,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Don't know,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,5,,
3,6-23-22 13:57:31,6-23-22 13:59:59,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Very useful,5,,
4,6-23-22 14:59:10,6-23-22 15:01:45,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,,
5,6-24-22 4:05:50,6-24-22 4:15:02,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Does not follow any credit awarding framework,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,The Tie up between universities around the World has to step up. Having an organized department with a team per University for credits transfer and student exchange program will change the game ,Encryption. Decentralisation. Transperancy of Funds. Token based Authentication. Open source tools 
6,6-24-22 15:10:21,6-24-22 15:12:40,anonymous,,Yes,Yes,Yes,Agree,Agree,UK,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Somewhat useful,Very useful,5,,
7,6-24-22 17:59:19,6-24-22 18:02:42,anonymous,,Yes,Yes,Yes,Agree,Agree,US,PhD,ACS (American Credit System) - American ,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Very useful,Very useful,5,"Academic rigor, relevance, credibility, value of course content, professionalism and ethics","Credit Confidentiality, Integrity and availability worldwide"
8,6-25-22 2:28:48,6-25-22 2:31:36,anonymous,,Yes,Yes,Yes,Agree,Agree,UK,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Very useful,5,,
9,6-25-22 20:45:40,6-25-22 20:47:45,anonymous,,Yes,Yes,Yes,Agree,Agree,United Kingdom ,Master's,ECTS (European Credit Transfer System) - EU,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,,
10,6-25-22 23:01:40,6-25-22 23:09:58,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,,
11,6-26-22 5:12:41,6-26-22 5:18:26,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,Can be changed into grades ,Will be much easier 
12,6-26-22 5:12:31,6-26-22 5:22:53,anonymous,,Yes,Yes,Yes,Agree,Agree,USA,Master's,ACS (American Credit System) - American ,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Somewhat useful,5,"Quality of education across the world is growing exponentially, if the student wants to transfer their credits to a different university be it in a different country, he/she should be able to get it transferred.","Students across the world are slowly and steadily are knowing the importance of having knowledge about how a blockchain works, so I feel it’ll be great!"
13,6-26-22 5:24:19,6-26-22 5:25:26,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Somewhat useful,4,,
14,6-26-22 5:33:19,6-26-22 5:35:40,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Loss of paper-based transcripts & certificates,Additional costs ,Very useful,Very useful,5,,
15,6-26-22 5:26:21,6-26-22 5:38:53,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Somewhat useful,4,"lack of digital formats, higher education credentials are very fragmented so there’s a need to improve digital platforms for easy flow ",Blockchain tech provides a security as the data which is stored cannot be altered which can be easily done in normal paper formats 
16,6-26-22 5:45:31,6-26-22 5:48:46,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Neutral,Very useful,3,,
17,6-26-22 5:40:38,6-26-22 5:51:30,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Somewhat useful,Very useful,4,,
18,6-26-22 6:02:39,6-26-22 6:04:07,anonymous,,Yes,Yes,Yes,Agree,Agree,Bangalore ,"Below Bachelor's (12th, diploma, GCSE, A Level, etc)",Don't know,Yes,Loss of paper-based transcripts & certificates,Additional costs ,Neutral,Neutral,5,,
19,6-26-22 6:18:39,6-26-22 6:21:13,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Don't know,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Neutral,Very useful,5,Pass,Pass 
20,6-26-22 6:24:33,6-26-22 6:27:44,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Somewhat useful,3,,
21,6-26-22 6:32:46,6-26-22 6:34:15,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Neutral,Neutral,3,,
22,6-26-22 6:30:43,6-26-22 6:35:31,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Neutral,Neutral,5,,
23,6-26-22 6:28:33,6-26-22 6:37:52,anonymous,,Yes,Yes,No ,Agree,Agree,India ,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Somewhat useful,4,If we implement this it can help many students ,It should introduced in every country so that students can get about this !! And adopt This blockchain 
24,6-26-22 6:34:12,6-26-22 6:37:55,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Neutral,3,-,-
25,6-26-22 6:37:23,6-26-22 6:39:32,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Somewhat useful,4,,
26,6-26-22 6:35:47,6-26-22 6:41:01,anonymous,,Yes,Yes,Yes,Disagree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Neutral,Somewhat useful,3,Discrimination,Be logical
27,6-26-22 6:43:00,6-26-22 6:45:22,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Very useful,Not useful,3,,
28,6-26-22 7:29:43,6-26-22 7:31:47,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Somewhat useful,4,,
29,6-26-22 8:20:46,6-26-22 8:32:03,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Neutral,5,"As far as International Credit Systems Go, certain countries do not use them and/or not aware about them, hence leading to difficulties while applying for higher education. And also this needs to be addressed because it helps validate the authenticity of an individual effort, and universities/employers can ensure they can trust a centralized system to help out with the process much faster ","In order for Blockchain to succeed, this needs to be tested by implementing in some educational institutions and find out how effective it can be ,and the results should be brought out in light in order for it to be implemented in a large scale.At the same time, the confidentiality between the 2 parties must be maintained. "
30,6-26-22 9:31:27,6-26-22 9:35:57,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Somewhat useful,3,,
31,6-26-22 10:51:33,6-26-22 10:57:21,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Don't know,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Somewhat useful,Very useful,4,One time exam should be taken off ,No idea 
32,6-26-22 12:18:45,6-26-22 12:20:46,anonymous,,Yes,Yes,No ,Agree,Agree,India,Bachelor's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Somewhat useful,Very useful,3,,
33,6-26-22 12:26:44,6-26-22 12:31:36,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,It is preferable to have a common credit system ,Blockchain is an excellent idea for the education sector
34,6-26-22 12:30:37,6-26-22 12:31:41,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,CATS (Credit Accumulation and Transfer Scheme) - UK ,Yes,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Additional costs ,Somewhat useful,Somewhat useful,4,,S biradar
35,6-26-22 12:49:51,6-26-22 12:56:19,anonymous,,Yes,Yes,Yes,Agree,Agree,INDIA,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,Credits and credentials should be removed ,Blockchain should be adopted in the education sector 
36,6-26-22 13:35:50,6-26-22 13:40:12,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Neutral,Somewhat useful,3,More activities and allotment of credits immediately ,"helps in the verification and traceability of multistep transactions needing verification and traceability. It can provide secure transactions, reduce compliance costs, and speed up data transfer processing."
37,6-26-22 13:52:27,6-26-22 13:53:46,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,,
38,6-26-22 13:56:26,6-26-22 14:02:17,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Additional costs ,Very useful,Very useful,5,,
39,6-26-22 14:15:21,6-26-22 14:17:22,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Master's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,To have a universal credit system ,
40,6-26-22 14:18:11,6-26-22 14:21:35,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Somewhat useful,4,,
41,6-26-22 14:26:05,6-26-22 14:32:42,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Somewhat useful,Somewhat useful,3,,Good
42,6-26-22 14:35:44,6-26-22 14:39:02,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Somewhat useful,Somewhat useful,5,Use of technology ,Very good 
43,6-26-22 15:05:37,6-26-22 15:07:31,anonymous,,Yes,Yes,Yes,Agree,Agree,india,Bachelor's,Don't know,Yes,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,5,,
44,6-26-22 15:08:01,6-26-22 15:11:29,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Biased assesment or verification of answer-scripts w.r.t only 1 answer key,Loss of time during their academic life,Neutral,Neutral,5,,
45,6-26-22 15:14:40,6-26-22 15:16:25,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Neutral,Somewhat useful,4,,
46,6-26-22 15:17:39,6-26-22 15:19:56,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,Neutral,Yes
47,6-26-22 15:19:15,6-26-22 15:21:56,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),Yes,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,4,"It is a digital platform so we need to protect the users within this ecosystem.  There is a risk with it will not be recognizable by employers, so as a result this method may not always lead to coherent qualifications. So the thing is there is some sort of duality will exist between traditional degrees and digital credentials which will lead to non formal type or partial certification.","Government support and stakeholders in corporate sector need to be effective for this to get the highlights and importance of international cooperation.  Ethics and practice of this also needs to be developed to exist in ""digital society"""
48,6-26-22 15:27:01,6-26-22 15:29:11,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Don't know,No,Competition in job market due to fake certificates or credentials.,Loss of time during their academic life,Very useful,Very useful,5,,
49,6-26-22 15:34:37,6-26-22 15:38:38,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Bachelor's,Asian credit systems (countries in Asia),No,Competition in job market due to fake certificates or credentials.,Additional costs ,Neutral,Somewhat useful,4,RFID aithorised credentials would be better.,Blockchain commands play a major role in transforming any kind of data digitally. It will for sure be the future boom in market.
50,6-26-22 15:41:44,6-26-22 15:45:50,anonymous,,Yes,Yes,Yes,Agree,Agree,India,Master's,Don't know,No,Competition in job market due to fake certificates or credentials.,Additional costs ,Somewhat useful,Very useful,5,There must be transparency as well as security when it's required ,"It helps in security, transparency and reduction in costs"
51,6-26-22 15:44:47,6-26-22 15:46:40,anonymous,,Yes,Yes,Yes,Agree,Agree,united kingdom,Master's,CATS (Credit Accumulation and Transfer Scheme) - UK ,No,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,4,Nc,Nc
52,6-26-22 15:44:14,6-26-22 15:47:02,anonymous,,Yes,Yes,Yes,Agree,Agree,India ,Bachelor's,Does not follow any credit awarding framework,Yes,Loss of paper-based transcripts & certificates,Loss of time during their academic life,Very useful,Very useful,5,,
